March 2024,,,April 2024,,,May 2024,,,June 2024,,,July 2024,,,August 2024,,,September 2024,,,October 2024,,,November 2024,,,December 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,,,,
Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,Income,Monthly,,,,,
Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,Memberships,,,,,,
Pickleball,"$7,700",,Pickleball,"$10,835",,Pickleball,"$20,749",,Pickleball,"$24,347",,Pickleball,"$21,739",,Pickleball,"$21,709",,Pickleball,"$19,402",,Pickleball,"$19,583",,Pickleball,"$31,561",,Pickleball,"$34,175",,Pickleball,"$30,793",,Pickleball,"$30,909",,Pickleball,"$29,719",,Pickleball,"$25,564",,Pickleball,"$12,016",,,,,
Day Passes,,,Day Passes,,,Day Psses,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Passes,,,Day Psses,,,Day Passes,,,Day Passes,,,,,,
Regular Day Passes,"$5,125",,Regular Day Passes,"$9,150",,Regular Day Passes,"$10,800",,Regular Day Passes,"$9,875",,Regular Day Passes,"$8,225",,Regular Day Passes,"$7,525",,Regular Day Passes,"$8,700",,Regular Day Passes,"$6,875",,Regular Day Passes,"$16,621",,Regular Day Passes,"$18,875",,Regular Day Passes,"$9,503",,Regular Day Passes,"$16,345",,Regular Day Passes,"$13,702",,Regular Day Passes,"$17,050",,Regular Day Passes,"$4,203",,,,,
Special Day Passes,$150,,Special Day Passes,"$4,725",,Special Day Passes,"$5,955",,Special Day Passes,"$6,360",,Special Day Passes,"$6,795",,Special Day Passes,"$7,680",,Special Day Passes,"$4,320",,Special Day Passes,"$5,200",,Special Day Passes,"$6,300",,Special Day Passes,"$4,020",,Special Day Passes,"$3,855",,Special Day Passes,"$5,505",,Special Day Passes,"$2,215",,Special Day Passes,"$3,275",,Special Day Passes,$545,,,,,
Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,Programing,,,,,,
Lessons/Ladders/Clinics,"$2,971",,Lessons/Ladders/Clinics,"$8,673",,Lessons/Ladders/Clinics,"$12,725",,Lessons/Ladders/Clinics,"$12,840",,Lessons/Ladders/Clinics,"$18,130",,Lessons/Ladders/Clinics,"$12,175",,Lessons/Ladders/Clinics,"$17,997",,Lessons/Ladders/Clinics,"$8,863",,Lessons/Ladders/Clinics,"$9,287",,Lessons/Ladders/Clinics,"$16,539",,Lessons/Ladders/Clinics,"$16,404",,Lessons/Ladders/Clinics,"$13,007",,Lessons/Ladders/Clinics,"$14,667",,Lessons/Ladders/Clinics,"$11,221",,Lessons/Ladders/Clinics,"$4,980",,,,,
Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,Pickleball Events,,,,,,
